Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,689.5,691.5,677.5,680.5,595.721069,3082726
02/07/2015,677.5,689.5,676.5,684.5,599.222717,2516787
03/07/2015,683,685,674.674988,682,597.034119,1402038
06/07/2015,671.5,674,665.359985,669,585.653687,3066499
07/07/2015,666.5,668,641.672974,642.5,562.455139,4160336
08/07/2015,640,652.5,629,644,563.768372,3949614
09/07/2015,647.5,657,642,650,569.020813,3412515
10/07/2015,665,666.5,652,657,575.148743,2435016
13/07/2015,660.5,668,650,667,583.902832,4572007
14/07/2015,665,667.5,654.5,658,576.02417,1681904
15/07/2015,659.5,667,651,654.5,572.960144,4396339
16/07/2015,655,662,647.5,658.5,576.461853,1839360
17/07/2015,658.5,658.5,646.5,651,569.89624,2364779
20/07/2015,652.5,652.5,638,641,561.142029,2036584
21/07/2015,642.5,650.5,638.5,648,567.27002,1628871
22/07/2015,641.5,641.5,621.5,627.5,549.323914,3013284
23/07/2015,630.5,635,619,628.5,550.19928,2977182
24/07/2015,625.5,627.5,587,589,515.620422,4889966
27/07/2015,583,587,568.937988,573,501.613708,4340200
28/07/2015,574,591.5,568.5,586,512.994263,4780870
29/07/2015,584,587.5,571,585,512.118713,3956360
30/07/2015,585,588.5,577.5,580.5,508.179352,2158255
31/07/2015,577,577,552.5,567,496.361237,5440885
03/08/2015,566,572,561.5,568,497.236664,3292977
04/08/2015,566.5,581,564,574.5,502.926849,3263166
05/08/2015,573.5,600.5,573.5,591,517.371216,3675607
06/08/2015,589,590.5,568,580,507.741669,3016049
07/08/2015,582,595,580.5,589.5,516.058044,2347474
10/08/2015,589.5,594.046997,573.5,594,519.997498,2918703
11/08/2015,588,596,570,572,500.738281,2603411
12/08/2015,564.5,578.995972,549,574,502.489136,4879813
13/08/2015,580,587,569,572.5,501.176086,2116140
14/08/2015,569.5,583.5,565.5,569.5,498.549744,2409811
17/08/2015,571,582,562.5,573.5,502.051483,2457546
18/08/2015,571,573.5,553.5,561.5,491.546448,2371988
19/08/2015,561.5,565.5,550.5,552,483.230011,2890600
20/08/2015,547,575.09198,546.833008,571.5,500.300598,3308792
21/08/2015,563.5,572,560,563,492.859558,2602057
24/08/2015,548,552,519.5,533,466.597137,3971186
25/08/2015,540.5,583.5,540.5,579.5,507.303864,5372948
26/08/2015,573,578.5,557,561.5,491.546448,5246317
27/08/2015,574.5,618,568,611.5,535.317383,5681456
28/08/2015,614,622,588.5,609,533.128723,5723638
01/09/2015,600,606,569,574.5,502.926849,6239606
02/09/2015,579.5,593.5,574.5,577.5,505.553009,5564318
03/09/2015,583.5,610.5,583.5,596.5,522.186035,4518603
04/09/2015,591,604,562,564.5,494.172699,3620915
07/09/2015,590,617.5,589.5,607,531.37793,5330476
08/09/2015,603,613,600.5,610,534.004089,3333357
09/09/2015,625,633.5,613.5,615,538.381226,4216278
10/09/2015,610,622.5,601.5,604.5,529.189392,3065007
11/09/2015,606,621,606,607.5,531.815613,2305483
14/09/2015,607,615.5,586.5,592.5,518.684326,2607127
15/09/2015,589.5,608,576,605.5,530.064697,2673759
