Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,3.414,3.448,3.364,3.419,2.414971,6676798
02/07/2015,3.414,3.508,3.406,3.483,2.460177,6043757
03/07/2015,3.476,3.487,3.436,3.466,2.448169,3134609
06/07/2015,3.4,3.44,3.35,3.35,2.366234,5241886
07/07/2015,3.362,3.41,3.301,3.31,2.337981,5975511
08/07/2015,3.302,3.39,3.299,3.377,2.385305,5118272
09/07/2015,3.399,3.489,3.39,3.465,2.447463,5353910
10/07/2015,3.519,3.56,3.5,3.553,2.509621,4159990
13/07/2015,3.567,3.633,3.54,3.565,2.518097,7483590
14/07/2015,3.55,3.569,3.525,3.557,2.512446,5250243
15/07/2015,3.541,3.592,3.538,3.586,2.53293,4771228
16/07/2015,3.596,3.64,3.592,3.63,2.564009,7416942
17/07/2015,3.627,3.64,3.601,3.617,2.554826,3213373
20/07/2015,3.62,3.674,3.62,3.65,2.578135,3271124
21/07/2015,3.64,3.67,3.58,3.598,2.541406,4241219
22/07/2015,3.58,3.635,3.579,3.628,2.562596,3933465
23/07/2015,3.635,3.642,3.582,3.587,2.533636,3270840
24/07/2015,3.595,3.627,3.58,3.605,2.54635,3934190
27/07/2015,3.59,3.604,3.537,3.537,2.498319,4700511
28/07/2015,3.55,3.562,3.507,3.523,2.488431,5554853
29/07/2015,3.519,3.534,3.453,3.484,2.460883,5268484
30/07/2015,3.52,3.538,3.46,3.504,2.47501,4616511
31/07/2015,3.498,3.498,3.321,3.368,2.378948,12460315
03/08/2015,3.363,3.429,3.325,3.395,2.39802,6597280
04/08/2015,3.405,3.417,3.37,3.385,2.390956,5007953
05/08/2015,3.41,3.422,3.385,3.42,2.415678,3706571
06/08/2015,3.423,3.437,3.38,3.407,2.406495,3379567
07/08/2015,3.404,3.411,3.356,3.396,2.398725,5920131
10/08/2015,3.408,3.408,3.334,3.378,2.386011,6128161
11/08/2015,3.369,3.369,3.3,3.333,2.354226,6134898
12/08/2015,3.3,3.336,3.272,3.32,2.345044,5422159
13/08/2015,3.353,3.369,3.329,3.352,2.367647,4375208
14/08/2015,3.34,3.378,3.334,3.336,2.356345,3359750
17/08/2015,3.345,3.38,3.342,3.368,2.378948,2643607
18/08/2015,3.359,3.385,3.348,3.378,2.386011,3553015
19/08/2015,3.361,3.375,3.33,3.337,2.357052,2313610
20/08/2015,3.325,3.328,3.299,3.308,2.336568,4366137
21/08/2015,3.269,3.289,3.167,3.167,2.236974,7246013
24/08/2015,3.11,3.129,2.951,2.975,2.101357,8059031
25/08/2015,3.009,3.08,3.009,3.06,2.161396,11813198
26/08/2015,3.025,3.094,2.995,3.031,2.140912,6108295
27/08/2015,3.093,3.161,3.085,3.142,2.219316,5870231
28/08/2015,3.145,3.154,3.1,3.143,2.220022,3991555
31/08/2015,3.135,3.149,3.1,3.126,2.208014,4830828
01/09/2015,3.09,3.097,3.026,3.058,2.159983,5040673
02/09/2015,3.055,3.084,3.029,3.031,2.140912,5888067
03/09/2015,3.052,3.124,3.033,3.11,2.196713,5113216
04/09/2015,3.1,3.112,3.05,3.065,2.164928,5520385
07/09/2015,3.071,3.114,3.042,3.058,2.159983,2900423
08/09/2015,3.086,3.155,3.074,3.114,2.199538,4406367
09/09/2015,3.16,3.165,3.12,3.134,2.213665,3869479
10/09/2015,3.11,3.112,3.045,3.056,2.158571,4409665
11/09/2015,3.066,3.075,3.026,3.046,2.151507,4108154
14/09/2015,3.053,3.081,3.024,3.024,2.135968,3453677
15/09/2015,3.024,3.033,2.963,2.99,2.111952,6143140
16/09/2015,3.01,3.067,3.008,3.062,2.162809,7524177
17/09/2015,3.055,3.123,3.042,3.1,2.189649,5647174
18/09/2015,3.079,3.102,3.031,3.068,2.167047,9783051
21/09/2015,3.06,3.135,3.055,3.098,2.188237,5470690
22/09/2015,3.1,3.104,3.02,3.029,2.139499,6223068
23/09/2015,3.021,3.089,3.021,3.06,2.161396,7239098
24/09/2015,3.06,3.089,3.011,3.048,2.15292,7997934
25/09/2015,3.09,3.189,3.09,3.167,2.236974,9688755
28/09/2015,3.144,3.208,3.144,3.159,2.231323,8197816
29/09/2015,3.13,3.21,3.125,3.171,2.239799,7304216
30/09/2015,3.207,3.273,3.186,3.271,2.310433,9274124
01/10/2015,3.3,3.329,3.25,3.278,2.315378,10854374
02/10/2015,3.313,3.348,3.277,3.34,2.359171,10913102
05/10/2015,3.36,3.443,3.36,3.443,2.431924,7673452
06/10/2015,3.45,3.467,3.383,3.401,2.402257,13854006
07/10/2015,3.407,3.467,3.403,3.455,2.4404,8881601
08/10/2015,3.445,3.461,3.388,3.46,2.443931,8275755
09/10/2015,3.48,3.544,3.479,3.496,2.46936,9269669
12/10/2015,3.496,3.518,3.365,3.378,2.386011,9488165
13/10/2015,3.38,3.389,3.314,3.364,2.376123,11594416
14/10/2015,3.35,3.356,3.302,3.32,2.345044,8118901
15/10/2015,3.347,3.379,3.331,3.375,2.383893,5853515
16/10/2015,3.39,3.406,3.358,3.399,2.400845,6134508
19/10/2015,3.391,3.423,3.375,3.382,2.388837,3308764
20/10/2015,3.389,3.409,3.356,3.395,2.39802,2652132
21/10/2015,3.406,3.406,3.34,3.349,2.365528,5215062
22/10/2015,3.349,3.384,3.3,3.384,2.39025,6830094
23/10/2015,3.4,3.429,3.39,3.412,2.410027,5924613
26/10/2015,3.412,3.433,3.384,3.428,2.421329,4588341
27/10/2015,3.412,3.421,3.314,3.337,2.357052,7138789
28/10/2015,3.349,3.358,3.312,3.337,2.357052,5618181
29/10/2015,3.36,3.365,3.323,3.357,2.371179,4125231
30/10/2015,3.391,3.432,3.363,3.368,2.378948,11393584
02/11/2015,3.359,3.437,3.348,3.427,2.420622,6328931
03/11/2015,3.42,3.449,3.409,3.449,2.436162,5587392
04/11/2015,3.45,3.489,3.44,3.456,2.441106,3751104
05/11/2015,3.438,3.461,3.41,3.433,2.42486,8962332
06/11/2015,3.428,3.467,3.382,3.408,2.407202,8057629
09/11/2015,3.397,3.406,3.242,3.25,2.2956,10143526
10/11/2015,3.24,3.265,3.122,3.25,2.2956,13836457
11/11/2015,3.231,3.24,3.141,3.149,2.22426,11161718
12/11/2015,3.145,3.175,3.098,3.132,2.212252,9308798
13/11/2015,3.115,3.187,3.115,3.162,2.233442,7788001
16/11/2015,3.135,3.2,3.135,3.164,2.234855,7487883
17/11/2015,3.176,3.22,3.176,3.208,2.265934,5254747
18/11/2015,3.2,3.25,3.188,3.25,2.2956,8885408
19/11/2015,3.272,3.29,3.257,3.29,2.323854,4892218
20/11/2015,3.298,3.335,3.263,3.33,2.352107,8541212
23/11/2015,3.33,3.338,3.287,3.288,2.322441,5251133
24/11/2015,3.286,3.288,3.182,3.198,2.258871,8623679
25/11/2015,3.194,3.214,3.156,3.191,2.253926,7863964
26/11/2015,3.192,3.251,3.191,3.23,2.281473,4675353
27/11/2015,3.244,3.259,3.205,3.238,2.287124,7921729
30/11/2015,3.219,3.219,3.152,3.155,2.228498,8059163
01/12/2015,3.152,3.18,3.124,3.124,2.206602,5994171
02/12/2015,3.142,3.157,3.116,3.121,2.204483,5930343
03/12/2015,3.126,3.202,3.115,3.125,2.207308,11035861
04/12/2015,3.122,3.139,3.097,3.101,2.190356,6141505
07/12/2015,3.117,3.15,3.115,3.134,2.213665,3880039
08/12/2015,3.118,3.132,3.078,3.078,2.17411,6151023
09/12/2015,3.089,3.135,3.043,3.13,2.21084,5975224
10/12/2015,3.138,3.163,3.099,3.127,2.20872,5780874
11/12/2015,3.125,3.13,3.06,3.081,2.176229,6730197
14/12/2015,3.082,3.098,3.028,3.028,2.138793,7327168
15/12/2015,3.054,3.084,3.032,3.058,2.159983,8924582
16/12/2015,3.051,3.095,3.051,3.078,2.17411,7824896
17/12/2015,3.12,3.174,3.117,3.159,2.231323,8364797
18/12/2015,3.122,3.156,3.111,3.15,2.224967,13532448
21/12/2015,3.124,3.174,3.112,3.138,2.21649,8340705
22/12/2015,3.153,3.158,3.105,3.144,2.220728,5283914
23/12/2015,3.164,3.224,3.164,3.21,2.267347,6332859
24/12/2015,3.22,3.226,3.204,3.226,2.278648,704212
28/12/2015,3.235,3.235,3.196,3.223,2.276529,2764857
29/12/2015,3.233,3.292,3.229,3.285,2.320322,6513604
30/12/2015,3.285,3.3,3.267,3.297,2.328798,6065586
31/12/2015,3.297,3.297,3.297,3.297,2.328798,0
04/01/2016,3.291,3.296,3.162,3.185,2.249688,7999544
05/01/2016,3.211,3.239,3.165,3.188,2.251807,5796328
06/01/2016,3.184,3.22,3.15,3.173,2.241212,7176634
