Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,6.429,6.461,6.313,6.408,6.16887,536881
02/07/2015,6.414,6.55,6.407,6.535,6.291131,413044
03/07/2015,6.51,6.552,6.41,6.488,6.245885,278525
06/07/2015,6.28,6.4,6.18,6.277,6.042758,558122
07/07/2015,6.229,6.353,6.049,6.081,5.854073,559544
08/07/2015,6.054,6.279,6.054,6.241,6.008102,418832
09/07/2015,6.259,6.504,6.259,6.476,6.234332,334767
10/07/2015,6.545,6.649,6.54,6.578,6.332526,300927
13/07/2015,6.578,6.877,6.578,6.752,6.500033,446514
14/07/2015,6.761,6.832,6.678,6.808,6.553943,244294
15/07/2015,6.753,6.808,6.73,6.8,6.546241,266575
16/07/2015,6.805,6.92,6.795,6.864,6.607853,344747
17/07/2015,6.9,6.9,6.803,6.856,6.600152,163346
20/07/2015,6.818,6.985,6.803,6.803,6.54913,511393
21/07/2015,6.8,6.92,6.748,6.841,6.585712,267102
22/07/2015,6.764,6.965,6.759,6.901,6.643473,249096
23/07/2015,6.902,6.976,6.873,6.896,6.638659,208291
24/07/2015,6.875,6.948,6.854,6.869,6.612667,180163
27/07/2015,6.8,6.826,6.668,6.687,6.437459,438770
28/07/2015,6.672,6.803,6.672,6.766,6.513511,224847
29/07/2015,6.61,6.763,6.594,6.728,6.476929,369784
30/07/2015,6.789,6.82,6.688,6.74,6.488481,241698
31/07/2015,6.63,6.777,6.566,6.669,6.42013,476892
03/08/2015,6.624,6.809,6.577,6.766,6.513511,351255
04/08/2015,6.769,6.769,6.618,6.699,6.44901,230021
05/08/2015,6.7,6.737,6.661,6.735,6.483667,288620
06/08/2015,6.673,6.823,6.673,6.783,6.529876,410762
07/08/2015,6.754,6.756,6.467,6.493,6.250698,303402
10/08/2015,6.5,6.552,6.422,6.464,6.222781,301937
11/08/2015,6.44,6.478,6.402,6.42,6.180422,162006
12/08/2015,6.402,6.42,6.298,6.344,6.107258,654543
13/08/2015,6.399,6.417,6.354,6.388,6.149616,300230
14/08/2015,6.39,6.46,6.356,6.399,6.160206,172254
17/08/2015,6.423,6.468,6.388,6.44,6.199676,338286
18/08/2015,6.45,6.5,6.403,6.437,6.196788,112747
19/08/2015,6.38,6.436,6.302,6.381,6.142877,354071
20/08/2015,6.353,6.353,6.262,6.28,6.045647,298655
21/08/2015,6.25,6.279,6.118,6.118,5.889692,344710
24/08/2015,5.995,6.051,5.756,5.825,5.607626,887187
25/08/2015,5.829,6.1,5.829,6.063,5.836745,433096
26/08/2015,6,6.05,5.913,5.943,5.721222,339715
27/08/2015,5.985,6.08,5.985,6.044,5.818454,246868
28/08/2015,6.055,6.089,5.972,6.034,5.808827,194184
31/08/2015,6,6.084,5.976,6.083,5.855999,246054
01/09/2015,6,6.042,5.905,5.93,5.708707,338449
02/09/2015,5.95,5.987,5.859,5.879,5.659611,112530
03/09/2015,5.914,6.022,5.857,6,5.776095,356701
04/09/2015,5.902,6.009,5.859,5.87,5.650947,475669
07/09/2015,5.9,5.954,5.857,5.896,5.675977,230621
08/09/2015,5.894,6.109,5.894,5.933,5.711596,359192
09/09/2015,6.01,6.06,5.96,5.976,5.752991,338384
10/09/2015,5.962,6.053,5.831,6.047,5.821342,324405
11/09/2015,6.038,6.038,5.916,5.938,5.716409,391581
14/09/2015,5.942,6.016,5.871,5.883,5.663462,153384
15/09/2015,5.873,5.919,5.792,5.84,5.622066,330311
16/09/2015,5.85,6.033,5.85,5.967,5.744327,528260
17/09/2015,5.962,6.057,5.935,6.038,5.812678,309159
