Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,10.9119,11.0207,10.7624,10.8711,8.501936,19016141
02/07/2015,10.9663,11.2744,10.9255,11.0388,8.633087,16831432
03/07/2015,11.0977,11.1067,10.8711,10.9436,8.558636,10592027
06/07/2015,10.6944,10.862,10.6536,10.6944,8.363744,13940690
07/07/2015,10.7034,10.7442,10.4995,10.5177,8.225552,12071544
08/07/2015,10.5403,10.7216,10.5312,10.6264,8.310563,8487937
09/07/2015,10.6536,10.9164,10.6038,10.8666,8.498416,9711819
10/07/2015,11.075,11.1702,10.9436,11.1339,8.707461,11287290
13/07/2015,11.2563,11.2971,11.1566,11.2246,8.778395,8084525
14/07/2015,11.1022,11.1838,11.0161,11.1657,8.732331,7725550
15/07/2015,11.2019,11.3152,11.1611,11.2608,8.806706,5973768
16/07/2015,11.3107,11.501,11.2654,11.4511,8.955534,7316561
17/07/2015,11.4647,11.4738,11.2472,11.2744,8.817343,7455967
20/07/2015,11.3197,11.424,11.2744,11.3469,8.874043,4917298
21/07/2015,11.3741,11.4058,11.2019,11.2382,8.789032,6232714
22/07/2015,11.1747,11.2382,11.1385,11.1928,8.753526,5014742
23/07/2015,11.288,11.288,11.1294,11.2336,8.785434,5281032
24/07/2015,11.2246,11.2608,11.0569,11.0569,8.647243,5790343
27/07/2015,11.0071,11.075,10.853,10.853,8.487779,7514982
28/07/2015,10.8847,10.9527,10.785,10.8349,8.473623,7867470
29/07/2015,10.853,10.8666,10.708,10.8258,8.466507,6188849
30/07/2015,10.921,10.9617,10.7941,10.8802,8.509051,6005640
31/07/2015,10.862,10.9164,10.7261,10.8847,8.51257,7392221
03/08/2015,10.8756,10.998,10.8303,10.93,8.547998,6256994
04/08/2015,10.921,10.9935,10.8847,10.9436,8.558636,4501904
05/08/2015,10.9617,11.1838,10.862,11.1566,8.725215,9697034
06/08/2015,11.1249,11.1974,11.0977,11.1158,8.693308,6654710
07/08/2015,11.0977,11.0977,10.9164,10.9527,8.565752,7444347
10/08/2015,10.9753,10.998,10.8167,10.8892,8.51609,8759253
11/08/2015,10.8756,10.9028,10.6083,10.6083,8.296408,10350027
12/08/2015,10.6808,10.7488,10.5448,10.572,8.268018,14226601
13/08/2015,10.7125,10.8167,10.6173,10.6445,8.324718,10905712
14/08/2015,10.6808,10.6989,10.5222,10.5539,8.253863,6155649
17/08/2015,10.6038,10.6445,10.3953,10.4633,8.183007,9790483
18/08/2015,10.4361,10.4542,10.2956,10.3228,8.073129,8584937
19/08/2015,10.2231,10.2503,10.0328,10.0373,7.849846,11586126
20/08/2015,9.98293,10.1143,9.91043,9.91949,7.757711,11837784
21/08/2015,9.74276,9.91949,9.489,9.489,7.42104,19659239
24/08/2015,9.16726,9.28961,8.65973,8.67332,6.783122,46405135
25/08/2015,8.85187,9.18992,8.74583,9.14913,7.155237,34010334
26/08/2015,9.01953,9.10382,8.84643,8.95428,7.002852,20007035
27/08/2015,9.1446,9.34852,9.09476,9.29414,7.268645,11615214
28/08/2015,9.27149,9.32133,9.14913,9.32133,7.289909,8578243
31/08/2015,9.24883,9.24883,9.05669,9.1582,7.162332,9357859
01/09/2015,9.0721,9.10382,8.91712,8.9579,7.005683,20264370
02/09/2015,8.95519,9.01228,8.76758,8.84824,6.919921,15415276
03/09/2015,8.96153,9.09929,8.80383,9.03041,7.06239,22719972
04/09/2015,8.89174,8.92437,8.54282,8.55551,6.690987,22868451
07/09/2015,8.62257,8.75308,8.62257,8.65339,6.767535,9654528
08/09/2015,8.73677,8.9579,8.73314,8.80836,6.888733,14529399
09/09/2015,8.97241,8.97694,8.74764,8.76214,6.852585,13484285
10/09/2015,8.49478,8.54372,8.07063,8.0951,6.330916,38457238
11/09/2015,8.08513,8.08876,7.74255,7.74255,6.055197,27519860
14/09/2015,7.7489,7.84043,7.58939,7.76521,6.072919,17339432
15/09/2015,7.70358,7.71989,6.76102,7.28759,5.699388,58343187
16/09/2015,7.3755,7.39634,6.77915,6.82175,5.33507,40341551
17/09/2015,6.84531,7.39362,6.71933,7.36734,5.761758,40185331
18/09/2015,7.49513,7.56492,6.99576,6.99576,5.471157,43183813
21/09/2015,7.0166,7.29665,7.0166,7.01932,5.489583,22130857
22/09/2015,7.06554,7.06554,6.68943,6.70846,5.246469,22492396
