Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,140.899994,141.199997,137.600006,137.600006,106.621765,4964820
02/07/2015,138.199997,141.100006,137.100006,140.699997,109.023842,3807628
03/07/2015,140,140.100006,137.399994,138,106.931694,2377150
06/07/2015,136.300003,137.699997,135.699997,136,105.381958,3589313
07/07/2015,135.800003,136.5,134.300003,134.5,104.219673,4105720
08/07/2015,134.399994,138.300003,134.399994,137.699997,106.699234,3710791
09/07/2015,138.399994,139.399994,137.199997,138.100006,107.009193,4265768
10/07/2015,139.5,140.5,137.5,138,106.931694,3476383
13/07/2015,138.899994,138.899994,136.199997,136.199997,105.536926,3180283
14/07/2015,136.199997,140.899994,135.399994,140.899994,109.178802,5152112
15/07/2015,140.5,142.300003,139.899994,140.899994,109.178802,4062028
16/07/2015,141.899994,142.899994,140.399994,141.399994,109.566238,3638381
17/07/2015,141.399994,141.699997,138.5,139.199997,107.861549,2929379
20/07/2015,140,141.600006,138,138.5,107.31913,2393879
21/07/2015,138.300003,140.699997,138,140.100006,108.558929,2473434
22/07/2015,138.699997,139.100006,137.100006,137.399994,106.466766,3804741
23/07/2015,137.600006,138.199997,135.699997,137.199997,106.311798,2495860
24/07/2015,138,138.300003,134.300003,134.300003,104.064682,3538336
27/07/2015,133.800003,133.899994,130.399994,130.399994,101.042709,5641363
28/07/2015,134.5,135.899994,132.199997,132.199997,102.437454,6293429
29/07/2015,135.5,138.300003,134.899994,137.399994,106.466766,6292553
30/07/2015,139.600006,142.5,138.899994,141.199997,109.411285,5523591
31/07/2015,140.600006,141,137.399994,138.199997,107.08667,4414748
03/08/2015,137,138.399994,135.399994,136,105.381958,4466657
04/08/2015,135.399994,137.300003,134.399994,136.5,105.769394,3720033
05/08/2015,137.300003,139.600006,136.800003,139.100006,107.78405,3148574
06/08/2015,137.300003,137.600006,135.100006,135.699997,105.149513,3729282
07/08/2015,137.199997,139.600006,137.199997,138.800003,107.55159,3739771
10/08/2015,137.600006,137.800003,135.300003,136.5,105.769394,3886180
11/08/2015,137.699997,139.800003,134,134.399994,104.142166,6134920
12/08/2015,135,137.300003,133.300003,136.100006,105.45945,5270845
