Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,15.09,15.39,14.925,15.23,10.654223,27144567
02/07/2015,15.305,15.32,14.915,14.93,10.444358,15230288
03/07/2015,14.945,15.005,14.73,14.85,10.388394,14136006
06/07/2015,14.5,14.645,14.265,14.385,10.063101,21787528
07/07/2015,14.43,14.44,13.895,13.915,9.734309,24570212
08/07/2015,13.92,14.145,13.805,13.99,9.786777,21508004
09/07/2015,14.05,14.68,14.02,14.61,10.220501,18172427
10/07/2015,15.21,15.255,14.965,15.175,10.615748,24303987
13/07/2015,15.34,15.58,15.25,15.49,10.836109,22073710
14/07/2015,15.5,15.565,15.37,15.565,10.888575,14919557
15/07/2015,15.55,15.635,15.515,15.61,10.920054,15339859
16/07/2015,15.72,15.95,15.7,15.9,11.122927,20357307
17/07/2015,15.95,15.95,15.77,15.81,11.059966,15195548
20/07/2015,15.85,16,15.785,15.86,11.094943,10887564
21/07/2015,15.915,15.94,15.62,15.695,10.979517,12472098
22/07/2015,15.575,15.81,15.57,15.66,10.955033,13808823
23/07/2015,15.805,15.82,15.635,15.735,11.007498,9886673
24/07/2015,15.665,15.77,15.51,15.56,10.885077,12047800
27/07/2015,15.46,15.5,15.22,15.27,10.682206,13136004
28/07/2015,15.39,15.595,15.33,15.51,10.850099,13362754
29/07/2015,15.535,15.61,15.31,15.345,10.734674,13012259
30/07/2015,15.43,15.49,15.31,15.45,10.808125,10798646
31/07/2015,15.5,15.525,15.335,15.49,10.836109,15207981
03/08/2015,15.46,15.785,15.445,15.725,11.000504,13230508
04/08/2015,15.77,15.77,15.54,15.61,10.920054,11445681
05/08/2015,15.35,15.45,14.89,15.065,10.538798,33335676
06/08/2015,15.19,15.19,14.91,15.06,10.5353,15316538
07/08/2015,14.95,14.95,14.57,14.62,10.393124,15905604
10/08/2015,14.7,14.87,14.49,14.855,10.560181,12888088
11/08/2015,14.88,14.915,14.73,14.785,10.510419,11681630
12/08/2015,14.64,14.64,14.06,14.175,10.076779,24860088
13/08/2015,14.41,14.47,14.11,14.16,10.066117,19771554
14/08/2015,14.18,14.34,14.015,14.11,10.030571,13394576
17/08/2015,14.205,14.27,13.895,14.09,10.016354,17630282
18/08/2015,14.09,14.625,14.02,14.525,10.32559,17283412
19/08/2015,14.41,14.54,14.19,14.21,10.101661,15701255
20/08/2015,14.13,14.215,13.595,13.66,9.710674,20646768
21/08/2015,13.3,13.73,13.155,13.155,9.351677,32561173
24/08/2015,12.7,12.85,11.87,12.47,8.864722,62592954
25/08/2015,12.68,13.485,12.615,13.355,9.493855,44362338
26/08/2015,13.17,13.44,12.88,13.2,9.383669,29305324
27/08/2015,13.725,13.82,13.575,13.72,9.753328,22704515
28/08/2015,13.755,13.76,13.52,13.665,9.71423,13668957
31/08/2015,13.58,13.67,13.46,13.645,9.700012,8345361
01/09/2015,13.4,13.47,13.06,13.23,9.404994,18217842
02/09/2015,13.275,13.445,13.08,13.215,9.394331,16823719
03/09/2015,13.37,13.73,13.3,13.585,9.657359,19259107
04/09/2015,13.45,13.475,12.975,13.1,9.312578,21835235
07/09/2015,13.23,13.35,13.195,13.275,9.436985,11909487
08/09/2015,13.375,13.66,13.325,13.41,9.532954,17409826
09/09/2015,13.78,13.865,13.605,13.62,9.682239,16088461
10/09/2015,13.53,13.64,13.31,13.46,9.568497,16073183
11/09/2015,13.53,13.535,13.235,13.25,9.419211,12307054
14/09/2015,13.295,13.4,13.025,13.085,9.301916,14675969
15/09/2015,13.085,13.405,12.99,13.295,9.451201,11497764
16/09/2015,13.4,13.475,13.215,13.25,9.419211,12969987
17/09/2015,13.31,13.37,13.235,13.32,9.468974,13196985
18/09/2015,13.225,13.235,12.685,12.76,9.07088,34383588
21/09/2015,12.75,13.09,12.75,12.985,9.230827,13879248
22/09/2015,13,13.02,12.47,12.58,8.942921,18727372
23/09/2015,12.505,12.73,12.475,12.53,8.907375,17261690
24/09/2015,12.585,12.715,12.26,12.38,8.800743,19086420
25/09/2015,12.605,12.925,12.57,12.865,9.145522,18941988
28/09/2015,12.755,12.835,12.325,12.425,8.832733,16168288
29/09/2015,12.22,12.56,12.14,12.42,8.829179,19436586
30/09/2015,12.685,12.8,12.63,12.65,8.992681,15249235
