Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,3.276,3.384,3.268,3.344,2.147908,166311279
02/07/2015,3.35,3.374,3.258,3.258,2.092669,102173023
03/07/2015,3.25,3.306,3.22,3.244,2.083676,84715435
06/07/2015,3.15,3.166,3.042,3.05,1.959067,198541043
07/07/2015,3.07,3.106,2.962,2.962,1.902543,174216140
08/07/2015,2.96,3.082,2.924,3.068,1.970629,145172628
09/07/2015,3.09,3.224,3.078,3.21,2.061838,149795710
10/07/2015,3.336,3.352,3.296,3.352,2.153047,163032858
13/07/2015,3.388,3.44,3.346,3.416,2.194155,153860647
14/07/2015,3.41,3.43,3.374,3.412,2.191586,93792609
15/07/2015,3.414,3.462,3.412,3.462,2.223701,111557471
16/07/2015,3.496,3.544,3.482,3.536,2.271233,129312588
17/07/2015,3.55,3.56,3.524,3.558,2.285364,101167385
20/07/2015,3.564,3.654,3.56,3.596,2.309772,109824102
21/07/2015,3.612,3.634,3.502,3.514,2.257102,103314513
22/07/2015,3.49,3.554,3.484,3.51,2.254533,89567763
23/07/2015,3.542,3.568,3.51,3.51,2.254533,74829350
24/07/2015,3.508,3.554,3.492,3.526,2.26481,87184845
27/07/2015,3.474,3.484,3.36,3.36,2.158185,150866495
28/07/2015,3.384,3.454,3.384,3.446,2.213424,91163044
29/07/2015,3.47,3.478,3.388,3.438,2.208286,76345327
30/07/2015,3.47,3.476,3.418,3.458,2.221132,71854187
31/07/2015,3.46,3.534,3.434,3.502,2.249394,127080431
03/08/2015,3.518,3.546,3.492,3.53,2.267379,86388458
04/08/2015,3.52,3.524,3.402,3.438,2.208286,130982816
05/08/2015,3.456,3.48,3.4,3.456,2.219848,114813919
06/08/2015,3.456,3.506,3.43,3.478,2.233979,95729304
07/08/2015,3.478,3.484,3.436,3.436,2.207001,60625093
10/08/2015,3.478,3.494,3.422,3.486,2.239117,55123719
11/08/2015,3.486,3.506,3.458,3.466,2.226271,81171515
12/08/2015,3.448,3.448,3.34,3.358,2.156901,131581036
13/08/2015,3.41,3.464,3.398,3.416,2.194155,112997600
14/08/2015,3.422,3.452,3.364,3.388,2.17617,71227491
17/08/2015,3.414,3.442,3.382,3.428,2.201863,68309684
18/08/2015,3.422,3.468,3.414,3.46,2.222417,66537485
19/08/2015,3.432,3.456,3.402,3.402,2.185162,79082413
20/08/2015,3.39,3.428,3.278,3.28,2.1068,126733979
21/08/2015,3.204,3.288,3.162,3.162,2.031006,138896056
24/08/2015,3.024,3.124,2.888,2.968,1.906397,253567030
25/08/2015,3.034,3.22,3,3.212,2.063122,228064968
26/08/2015,3.174,3.262,3.142,3.23,2.074684,137337468
27/08/2015,3.298,3.334,3.276,3.31,2.126069,143184698
28/08/2015,3.32,3.328,3.216,3.244,2.083676,91485145
31/08/2015,3.206,3.254,3.2,3.254,2.0901,58415632
01/09/2015,3.218,3.238,3.134,3.158,2.028437,127427923
02/09/2015,3.182,3.262,3.176,3.236,2.078538,114835491
03/09/2015,3.258,3.318,3.248,3.294,2.115792,127284194
04/09/2015,3.25,3.256,3.13,3.14,2.016876,165944031
07/09/2015,3.18,3.188,3.116,3.14,2.016876,62303967
08/09/2015,3.17,3.246,3.166,3.208,2.060553,99527219
09/09/2015,3.286,3.294,3.21,3.21,2.061838,106514616
10/09/2015,3.18,3.232,3.17,3.204,2.057984,79915169
11/09/2015,3.23,3.232,3.15,3.162,2.031006,76990184
14/09/2015,3.178,3.188,3.106,3.106,1.995037,85922600
15/09/2015,3.114,3.194,3.108,3.172,2.03743,95360399
16/09/2015,3.21,3.222,3.154,3.172,2.03743,86516096
17/09/2015,3.176,3.21,3.17,3.2,2.055415,78562383
18/09/2015,3.186,3.186,3.08,3.08,1.978336,193489019
