Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,60.5,61.490002,59.900002,60.970001,49.379253,852758
02/07/2015,60.98,61.48,60.02,60.299999,48.836628,682778
03/07/2015,60.200001,60.52,59.540001,59.880001,48.496471,484235
06/07/2015,58.540001,58.560001,57.509998,57.93,46.917175,961335
07/07/2015,58.18,58.470001,56.709999,56.740002,45.953407,925131
08/07/2015,56.779999,57.610001,56.349998,57.279999,46.390739,1092121
09/07/2015,57.450001,59.560001,57.400002,59.450001,48.148212,714958
10/07/2015,60.849998,61.369999,60.68,61.130001,49.508842,690135
13/07/2015,61.490002,63,61.48,62.82,50.87756,889953
14/07/2015,62.700001,63.150002,62.259998,63.150002,51.144825,655022
15/07/2015,62.990002,64.120003,62.98,64.110001,51.922321,710070
16/07/2015,64.470001,65.43,64.470001,64.830002,52.505451,751338
17/07/2015,65,65.029999,64.470001,64.699997,52.400158,569139
20/07/2015,64.800003,65.199997,64.779999,64.900002,52.562138,383205
21/07/2015,64.980003,65.080002,63.939999,64.110001,51.922321,372756
22/07/2015,63.869999,64.989998,63.689999,64.449997,52.197681,511546
23/07/2015,65,65.089996,63.630001,63.860001,51.719849,553029
24/07/2015,63.599998,63.970001,63.41,63.540001,51.460678,484437
27/07/2015,63.25,63.25,62.099998,62.380001,50.521202,615579
28/07/2015,62.279999,63.299999,62.110001,63.009998,51.031437,1089031
29/07/2015,63.450001,63.5,62,62.139999,50.326836,856186
30/07/2015,62.490002,62.66,61.790001,62.18,50.359226,795180
31/07/2015,62.540001,63.529999,62.439999,63.459999,51.395885,669383
03/08/2015,63.5,64.309998,63.439999,64.139999,51.946617,566654
04/08/2015,64.099998,64.209999,62.950001,63.740002,51.622665,619646
05/08/2015,64,64.699997,63.299999,63.439999,51.379688,990093
06/08/2015,65.5,66,64.669998,65.339996,52.918491,1181433
07/08/2015,65.330002,65.389999,63.799999,63.799999,51.671257,753394
10/08/2015,64.349998,64.419998,63.189999,63.490002,51.420189,683376
11/08/2015,63.439999,64.169998,63.439999,63.77,51.646957,723988
12/08/2015,63.349998,63.389999,60.66,60.880001,49.306362,869026
13/08/2015,62.029999,62.529999,61.380001,61.470001,49.784203,663527
14/08/2015,61.639999,62.450001,60.98,61.18,49.549332,548018
17/08/2015,61.52,62.099998,60.779999,61.209999,49.573627,473575
18/08/2015,60.970001,61.919998,60.970001,61.439999,49.759903,624188
19/08/2015,61.200001,61.490002,60.830002,60.84,49.273972,491600
20/08/2015,60.549999,60.860001,58.810001,59,47.783756,705624
21/08/2015,58.23,58.970001,56.939999,56.98,46.147774,889795
24/08/2015,55.09,55.279999,52.349998,54.380001,44.042049,2320097
25/08/2015,55.009998,58.27,54.849998,57.959999,46.941471,1597991
26/08/2015,57.709999,58.119999,56.200001,56.849998,46.042488,1676662
27/08/2015,58.41,59.380001,58.119999,59.110001,47.872852,1250144
28/08/2015,59.34,59.75,58.259998,59.009998,47.791862,685552
31/08/2015,58.720001,59.209999,58.139999,59.169998,47.921444,467906
01/09/2015,58.990002,58.990002,57.240002,58.139999,47.08725,794901
02/09/2015,58.290001,59.040001,57.529999,58.310001,47.224934,551395
03/09/2015,59.040001,59.119999,58.139999,58.419998,47.314022,1109151
04/09/2015,57.970001,57.970001,56.82,57.220001,46.342152,918818
07/09/2015,57.580002,58,57.09,57.48,46.552719,377862
08/09/2015,57.810001,58.68,57.720001,58.189999,47.127747,704322
09/09/2015,59.450001,59.759998,58.950001,59.150002,47.905247,479641
10/09/2015,58.669998,59.509998,58.400002,59.150002,47.905247,614505
11/09/2015,59.25,59.459999,58.599998,58.93,47.72707,601664
14/09/2015,59,59.549999,57.830002,58.23,47.160149,633738
15/09/2015,58.150002,59.57,58.130001,59.259998,47.994331,564680
16/09/2015,59.610001,59.889999,58.799999,58.93,47.72707,843020
17/09/2015,59,59.099998,58.52,58.549999,47.419308,894146
18/09/2015,58.540001,58.889999,56.75,57.349998,46.447433,1076716
21/09/2015,57.32,58.139999,56.990002,57.689999,46.722801,561128
22/09/2015,57.700001,57.950001,56.009998,56.189999,45.507957,737917
23/09/2015,56.07,56.360001,55.560001,55.799999,45.192101,846091
24/09/2015,55.970001,56.139999,54.84,55.25,44.746658,964673
25/09/2015,56.169998,57.27,55.830002,57,46.163967,914330
28/09/2015,56.830002,57.23,55.900002,56.310001,45.605148,816843
29/09/2015,55.709999,56.529999,55.330002,55.380001,44.851944,721739
30/09/2015,56.360001,57,56.049999,56.369999,45.65374,650149
01/10/2015,57.18,57.450001,56.119999,56.389999,45.669933,523663
02/10/2015,56.91,57.529999,55.400002,56.259998,45.564651,752872
05/10/2015,57.209999,57.43,56.639999,57.330002,46.431236,736164
06/10/2015,57.48,58.439999,57.150002,58.110001,47.06295,632679
07/10/2015,58.32,58.970001,57.610001,57.740002,46.763302,1098154
08/10/2015,57.650002,57.720001,56.200001,56.380001,45.661839,875172
09/10/2015,56.790001,56.869999,55.02,55.369999,44.843849,1080594
12/10/2015,55.610001,55.790001,53.959999,54.389999,44.050144,1055408
13/10/2015,54.389999,54.73,53.18,54.599998,44.220222,1055666
14/10/2015,54.360001,55.119999,53.830002,54.459999,44.106838,684604
15/10/2015,54.91,54.91,54.34,54.450001,44.098743,824142
16/10/2015,54.82,55.619999,54.610001,55.459999,44.916733,605608
19/10/2015,55.5,56.029999,55.5,55.700001,45.111115,634824
20/10/2015,55.599998,56.150002,55.209999,55.279999,44.770954,595685
21/10/2015,55.360001,55.540001,54.57,54.779999,44.366009,614156
22/10/2015,54.5,54.5,52.900002,53.220001,43.102577,1528026
23/10/2015,53.5,53.509998,51.41,52.630001,42.624737,2277466
26/10/2015,52.630001,53.529999,52.369999,53.529999,43.353642,991797
27/10/2015,53.48,55.720001,53.130001,54.860001,44.430798,1329545
28/10/2015,55.09,55.990002,54.610001,55.990002,45.345978,1112940
29/10/2015,56.060001,56.16,54.849998,55.110001,44.633274,854500
30/10/2015,55.150002,56.049999,54.900002,55.400002,44.868141,945027
02/11/2015,55,56.360001,54.84,55.900002,45.273087,831936
03/11/2015,55.830002,55.830002,54.380001,54.77,44.357906,933594
04/11/2015,55.060001,55.41,54.330002,54.389999,44.050144,704166
05/11/2015,54.68,54.68,53,53.330002,43.191669,1360714
06/11/2015,53.439999,56.200001,53.34,56.07,45.41077,1103073
09/11/2015,56.279999,56.470001,55.459999,55.529999,44.973423,795676
10/11/2015,55.599998,56.139999,55.380001,55.84,45.224491,577844
11/11/2015,55.759998,56.509998,55.459999,56,45.35408,454934
12/11/2015,56.009998,56.240002,54.790001,55.049999,44.584682,544622
13/11/2015,54.830002,55.299999,54.080002,54.720001,44.317413,596053
16/11/2015,55.150002,57.099998,54.599998,56.380001,45.661839,1157602
17/11/2015,56.57,56.709999,54.619999,54.849998,44.422703,1319596
18/11/2015,54.439999,54.959999,53.939999,54.490002,44.131142,896942
19/11/2015,54.700001,55.580002,54.610001,54.91,44.471291,850086
20/11/2015,55.110001,55.169998,54.040001,54.23,43.920563,836770
23/11/2015,54.169998,54.529999,53.610001,53.610001,43.41843,723092
24/11/2015,53.5,54.310001,52.919998,54.220001,43.912468,1008223
25/11/2015,54.299999,55.009998,53.860001,54.080002,43.799088,798017
26/11/2015,54.099998,55.25,53.799999,55.09,44.617077,786576
27/11/2015,55.650002,57.810001,55.599998,56.5,45.759026,1134815
30/11/2015,56.59,57.099998,56.290001,56.5,45.759026,930167
01/12/2015,56.799999,56.860001,56.32,56.52,45.775223,711551
02/12/2015,56.5,57.07,55.810001,56.060001,45.402676,574157
03/12/2015,56.110001,57.099998,55.540001,56.299999,45.597046,1300594
04/12/2015,56.279999,57.07,56,56.869999,46.058685,758143
07/12/2015,57.099998,57.459999,56.400002,56.580002,45.823818,569089
08/12/2015,56.52,56.580002,54.41,55.41,44.876236,980801
09/12/2015,55.349998,55.549999,54.400002,54.709999,44.309315,625465
10/12/2015,54.540001,54.759998,53.82,54.049999,43.774784,686507
11/12/2015,55.049999,55.07,53.810001,54.470001,44.114941,1197256
14/12/2015,54.77,54.950001,53.540001,53.689999,43.483223,543799
15/12/2015,54.09,56,54.060001,55.700001,45.111115,822195
16/12/2015,55.75,56.040001,54.860001,56,45.35408,602838
17/12/2015,56.75,58.18,56.669998,57.560001,46.617512,1008275
18/12/2015,57.119999,57.880001,57.040001,57.599998,46.649914,864027
21/12/2015,57.220001,57.669998,56.779999,56.779999,45.985794,385137
22/12/2015,57,57.290001,56.509998,56.639999,45.872414,606294
23/12/2015,56.959999,57.619999,56.810001,57.41,46.496033,404600
24/12/2015,57.560001,57.650002,57,57.650002,46.690403,62644
28/12/2015,57.59,57.700001,57.09,57.279999,46.390739,215105
29/12/2015,57.419998,58.669998,57.419998,58.580002,47.443607,480690
30/12/2015,58.389999,58.459999,57.700001,58.139999,47.08725,315280
04/01/2016,57.220001,57.439999,56.619999,57.220001,46.342152,687286
05/01/2016,57.599998,57.98,56.91,57.389999,46.479832,443412
06/01/2016,57.439999,57.580002,55.880001,56.950001,46.123478,1044626
07/01/2016,55.82,56.310001,54.939999,55.540001,44.981529,833361
08/01/2016,55.650002,56.32,54.060001,54.060001,43.782883,694431
11/01/2016,54.049999,54.82,53.810001,54.02,43.750492,510686
12/01/2016,54.029999,54.990002,53.91,54.509998,44.147335,831670
13/01/2016,55,55.34,54.02,54.34,44.009655,593184
14/01/2016,54,54.200001,52.509998,53.610001,43.41843,781898
15/01/2016,53.720001,53.790001,51.25,51.830002,41.976818,978694
18/01/2016,51.25,51.459999,49.834999,50.880001,41.207417,1045118
19/01/2016,51.669998,52.040001,50.959999,51.139999,41.417995,537067
20/01/2016,50.5,50.720001,49.415001,50,40.494717,1051652
21/01/2016,49.759998,52.790001,49.5,52.099998,42.195492,1427811
22/01/2016,53.189999,53.48,52.130001,53.029999,42.948689,857038
25/01/2016,53.400002,53.400002,51.09,51.5,41.709557,781316
26/01/2016,50.779999,52.810001,50.52,52.740002,42.713825,892655
27/01/2016,52.619999,52.869999,50.919998,51.240002,41.498985,1019754
28/01/2016,51.299999,51.650002,49.860001,50.009998,40.502815,1118614
29/01/2016,50.630001,52.919998,50.139999,52.790001,42.754322,1285955
01/02/2016,53,53,51.720001,52.209999,42.28458,682356
02/02/2016,52.049999,52.139999,50.41,50.900002,41.223621,1042954
03/02/2016,50.82,50.93,48.400002,48.904999,39.60788,1030188
04/02/2016,49.384998,50.32,48.965,49.830002,40.357033,1053511
05/02/2016,49.990002,50.799999,48.91,48.950001,39.644321,1083251
08/02/2016,49.599998,49.665001,46.264999,46.490002,37.651989,1494537
09/02/2016,46.34,47.349998,44.145,45.205002,36.611275,1561187
10/02/2016,45.57,47.794998,44.814999,47.264999,38.279652,1541366
11/02/2016,46.924999,46.924999,44.825001,45.044998,36.481682,1549107
12/02/2016,45.259998,46.535,45.154999,46.535,37.688431,1265681
15/02/2016,47.924999,48.970001,47.73,48.450001,39.23938,1044667
16/02/2016,49.005001,49.174999,47.485001,48.349998,39.158386,898832
17/02/2016,48.514999,50.25,48.005001,49.700001,40.251743,1369184
18/02/2016,49.700001,49.794998,44.724998,45.715,37.024319,3160059
19/02/2016,46.5,47.150002,45.544998,46.130001,37.36042,1992810
22/02/2016,47.5,47.790001,46.755001,47.23,38.251305,1159792
23/02/2016,46.849998,48.009998,46.345001,46.564999,37.712719,1138041
24/02/2016,46.564999,46.654999,45.445,46,37.255138,1540828
25/02/2016,46.599998,47.685001,46.525002,47.439999,38.421379,939420
26/02/2016,47.689999,49.169998,47.505001,48.595001,39.356812,1252976
29/02/2016,48.485001,49.044998,47.674999,48.900002,39.603832,1010626
01/03/2016,48.654999,50.34,48.404999,50.200001,40.656693,1077784
02/03/2016,50.5,51.560001,50.41,51.560001,41.758148,1235827
03/03/2016,51.73,51.93,50.689999,50.900002,41.223621,1026039
04/03/2016,50.950001,51.610001,50.459999,50.75,41.102135,752814
07/03/2016,50.84,50.860001,48.23,48.82,39.539036,1154141
08/03/2016,47.924999,48.525002,46.970001,48.240002,39.069305,1488860
09/03/2016,48.130001,49.439999,48.099998,48.59,39.352768,847285
10/03/2016,48.584999,51.98,47.875,48.485001,39.267719,2051028
11/03/2016,49.445,50.279999,49.25,50.02,40.51091,1943719
14/03/2016,50.209999,50.869999,49.369999,49.525002,40.110008,1107849
15/03/2016,49.285,49.435001,48.560001,48.77,39.498547,890410
16/03/2016,48.764999,49.044998,47.139999,47.880001,38.777733,1306481
17/03/2016,48.119999,48.209999,45.415001,46.220001,37.433315,2104846
18/03/2016,46.27,47.029999,45.919998,46.759998,37.870655,1787745
21/03/2016,46.630001,48.014999,46.18,46.720001,37.838261,873653
