Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,17.957399,18.226299,17.8127,17.930901,17.647667,5525583
02/07/2015,17.9207,18.008301,17.651699,17.6782,17.398958,4750304
03/07/2015,17.676201,17.806601,17.4582,17.737301,17.457127,3829393
06/07/2015,17.421499,17.443899,17.0201,17.1749,16.903608,7279892
07/07/2015,17.0812,17.095501,16.0604,16.0746,15.82069,11110702
08/07/2015,16.270201,16.824499,16.148001,16.567699,16.306,9066261
09/07/2015,16.761299,16.9916,16.5555,16.655399,16.392313,6435501
10/07/2015,17.0343,17.236099,16.893801,16.910101,16.642994,6410126
13/07/2015,16.916201,17.1709,16.8102,17.1709,16.899672,6149430
14/07/2015,17.2992,17.437799,17.0751,17.1057,16.835503,4573358
15/07/2015,17.070999,17.223801,16.8265,16.946699,16.679012,4915067
16/07/2015,16.7878,17.0527,16.7491,16.9345,16.667006,5703093
17/07/2015,16.855,17.009899,16.7328,16.7817,16.516619,4837609
20/07/2015,16.769501,17.1362,16.636999,16.7715,16.50658,4749692
21/07/2015,16.838699,17.1749,16.716499,17.0751,16.805386,5420916
22/07/2015,16.828501,16.855,16.364,16.5107,16.249901,7413311
23/07/2015,16.6187,16.677799,16.388399,16.435301,16.175694,5237056
24/07/2015,16.374201,16.6024,15.9116,16.0217,15.768624,6060169
27/07/2015,16.0359,16.260099,15.6569,15.9055,15.65426,6496943
28/07/2015,16.0054,16.396601,15.9626,16.382299,16.123528,7489055
29/07/2015,16.5861,16.7083,16.0807,16.688,16.424398,7804022
30/07/2015,16.846901,16.8713,16.4597,16.58,16.318106,5495936
31/07/2015,17.2157,17.217699,16.5861,16.830601,16.564749,6878614
03/08/2015,16.769501,16.802099,16.321199,16.5861,16.324108,5363172
04/08/2015,16.5392,17.0853,16.512699,16.901899,16.63492,5914410
05/08/2015,17.001699,17.8249,16.952801,17.7129,17.433111,8502540
06/08/2015,17.584499,17.784201,17.3339,17.621201,17.342861,4905929
07/08/2015,17.7271,17.992001,17.452101,17.7027,17.423073,6185906
10/08/2015,17.698601,17.810699,17.1362,17.7516,17.471199,5284177
