Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,25.68,25.799999,25.475,25.535,18.132301,9316971
02/07/2015,25.545,25.84,25.469999,25.705,18.253023,6402086
03/07/2015,25.74,25.775,25.360001,25.535,18.132301,4971090
06/07/2015,25.25,25.495001,25.200001,25.334999,17.990282,6434627
07/07/2015,25.405001,25.41,24.83,24.834999,17.635235,9613276
08/07/2015,24.955,25.334999,24.75,25.075001,17.805656,7870008
09/07/2015,25.120001,25.4,24.995001,25.225,17.912176,6405758
10/07/2015,25.6,25.635,25.225,25.395,18.032892,8614465
13/07/2015,25.75,25.780001,25.450001,25.66,18.221066,6373805
14/07/2015,25.610001,26.1,25.469999,26.08,18.519306,7766269
15/07/2015,26.15,26.264999,25.945,26.09,18.526409,5562005
16/07/2015,26.27,26.395,26.030001,26.35,18.711037,5730653
17/07/2015,26.379999,26.385,26.115,26.215,18.61517,7814557
20/07/2015,26.299999,26.450001,26.045,26.200001,18.604519,5289117
21/07/2015,26.24,26.33,26.084999,26.200001,18.604519,5522123
22/07/2015,25.940001,26.049999,25.645,25.73,18.270769,8568900
23/07/2015,25.795,25.889999,25.280001,25.34,17.993837,7256974
24/07/2015,25.355,25.475,24.875,24.945,17.71335,8195078
27/07/2015,24.85,24.9,24.334999,24.455,17.365398,9237237
28/07/2015,24.594999,24.834999,24.360001,24.67,17.518072,7678542
29/07/2015,24.85,25.145,24.610001,25.110001,17.830513,6619459
30/07/2015,25.809999,26.565001,25.695,26.35,18.711037,17339613
31/07/2015,26.4,26.475,26.014999,26.18,18.590315,9817478
03/08/2015,26.285,26.365,26.02,26.17,18.583216,6456167
04/08/2015,26.084999,26.295,25.885,26.18,18.590315,5512047
05/08/2015,26.299999,26.895,26.225,26.809999,19.03768,8971076
06/08/2015,26.620001,26.754999,26.405001,26.725,18.977314,7008059
07/08/2015,26.75,27.135,26.655001,26.77,19.009274,8084833
10/08/2015,26.745001,26.84,26.215,26.66,18.931158,6924439
11/08/2015,26.635,26.875,26.43,26.450001,18.782042,8383576
12/08/2015,26.450001,26.5,26.030001,26.32,18.68973,7919932
13/08/2015,26.370001,26.57,25.59,25.620001,18.408926,7431911
14/08/2015,25.5,25.67,25.290001,25.4,18.250847,4866877
17/08/2015,25.594999,25.620001,25.16,25.370001,18.22929,4404746
18/08/2015,25.365,25.4,25.084999,25.205,18.110733,4977736
19/08/2015,25.094999,25.135,24.535,24.620001,17.690388,7710048
20/08/2015,24.52,24.73,24.225,24.5,17.604164,8764290
21/08/2015,24.15,24.365,23.415001,23.450001,16.849701,16394312
24/08/2015,22.5,22.764999,20.915001,21.639999,15.549145,30232621
25/08/2015,22.205,22.775,21.905001,22.385,16.084455,19195087
26/08/2015,22,22.545,21.58,21.620001,15.534775,15994396
27/08/2015,22.24,22.99,21.950001,22.815001,16.393429,12044476
28/08/2015,23.120001,23.535,22.76,23.389999,16.806583,12167316
31/08/2015,23.315001,23.32,22.855,23.280001,16.727549,5756654
01/09/2015,23.42,23.66,22.370001,22.540001,16.195827,14673179
02/09/2015,22.465,22.870001,21.969999,22.434999,16.120384,11530116
03/09/2015,22.795,23.225,22.584999,23,16.526356,10089947
04/09/2015,22.82,22.879999,22.040001,22.190001,15.944344,9423997
07/09/2015,22.405001,22.665001,22.16,22.184999,15.94075,4945385
08/09/2015,22.325001,22.82,22.305,22.57,16.217386,7316832
09/09/2015,23.049999,23.165001,22.75,22.815001,16.393429,8316855
10/09/2015,22.475,22.785,22.16,22.344999,16.055717,9071679
11/09/2015,22.43,22.455,22,22.094999,15.876081,6305308
14/09/2015,22.09,22.389999,21.815001,22.055,15.847341,5524937
15/09/2015,22.084999,22.424999,21.75,22.315001,16.034157,6558471
16/09/2015,22.4,22.959999,22.33,22.879999,16.44013,6793734
17/09/2015,22.955,23.030001,22.610001,22.709999,16.317978,7054168
18/09/2015,22.52,22.52,21.75,21.860001,15.707224,15467219
21/09/2015,21.799999,22.18,21.76,22.025,15.825781,6860916
22/09/2015,22.084999,22.084999,21.275,21.370001,15.355145,11098241
23/09/2015,21.415001,21.92,21.355,21.475,15.430587,7189202
24/09/2015,21.299999,21.315001,20.68,20.799999,14.945574,11325553
25/09/2015,21.195,21.445,21.08,21.129999,15.182694,7692439
28/09/2015,21.200001,21.379999,20.58,20.58,14.787494,7349327
29/09/2015,20.309999,21.120001,20.27,20.879999,15.003056,9796304
30/09/2015,21.01,21.23,20.965,21.184999,15.222213,10595035
01/10/2015,21.455,22.1,21.455,21.605,15.523999,9350505
02/10/2015,21.74,22.35,21.504999,21.865,15.710818,10672223
05/10/2015,22.375,22.950001,22.254999,22.950001,16.490427,11426219
06/10/2015,23,23.795,22.615,23.67,17.007778,12441109
07/10/2015,24.035,24.74,23.889999,24.34,17.489195,18484607
08/10/2015,24.299999,24.629999,24.065001,24.565001,17.650866,8646790
09/10/2015,24.865,24.985001,24.325001,24.455,17.571831,12268204
12/10/2015,24.434999,24.645,24.110001,24.27,17.4389,6286795
13/10/2015,24.1,24.1,23.465,23.924999,17.191002,7924289
14/10/2015,23.709999,24.27,23.525,23.965,17.219744,6896488
15/10/2015,24.184999,24.4,23.905001,24.209999,17.395784,7370752
16/10/2015,24.5,24.895,24.459999,24.65,17.711941,9573108
19/10/2015,24.65,24.790001,24.219999,24.290001,17.45327,6389889
20/10/2015,24.235001,24.26,23.815001,24.205,17.392197,6352410
21/10/2015,24.290001,24.635,24.025,24.51,17.611349,6547041
22/10/2015,24.309999,24.799999,24.209999,24.75,17.783794,8150728
23/10/2015,24.969999,25.110001,24.469999,24.57,17.654463,11784939
26/10/2015,24.594999,24.74,24.24,24.264999,17.435308,6527118
27/10/2015,24.205,24.245001,23.540001,23.809999,17.10837,8275201
28/10/2015,23.709999,24.365,23.665001,24.155001,17.356268,7526097
29/10/2015,23.99,24.155001,23.615,24,17.244894,8994772
30/10/2015,24,24.105,23.57,23.83,17.122746,5990522
02/11/2015,23.629999,24.094999,23.615,24.030001,17.266449,7407566
03/11/2015,24.26,24.875,24.165001,24.875,17.873613,11384994
04/11/2015,25.035,25.51,24.98,24.98,17.94906,11614033
05/11/2015,25.004999,25.004999,24.15,24.290001,17.45327,14225550
06/11/2015,24.209999,24.360001,23.985001,24.195,17.385006,7776739
09/11/2015,24.16,24.559999,24.014999,24.040001,17.27364,5638613
10/11/2015,24.110001,24.225,23.870001,24.02,17.259266,6671329
11/11/2015,23.985001,24.075001,23.605,23.625,16.975443,7560077
12/11/2015,23.1,23.32,22.615,22.615,16.550896,8924653
13/11/2015,22.540001,22.85,22.23,22.415001,16.404528,7540614
16/11/2015,22.35,23.07,22.35,22.565001,16.514303,6702998
17/11/2015,23.094999,23.450001,23.02,23.32,17.066853,10520309
18/11/2015,23.190001,23.754999,23.065001,23.6,17.271772,7087583
19/11/2015,23.809999,24.23,23.725,23.905001,17.494986,10348935
20/11/2015,23.844999,23.92,23.424999,23.495001,17.194929,8684325
23/11/2015,23.200001,23.74,23.02,23.35,17.08881,8316280
24/11/2015,23.135,23.514999,22.98,23.5,17.198589,8938227
25/11/2015,23.594999,23.895,23.4,23.629999,17.293722,7925805
26/11/2015,23.690001,24.07,23.605,23.995001,17.560856,6762426
27/11/2015,23.945,23.945,23.635,23.719999,17.359596,5631549
30/11/2015,23.565001,23.860001,23.395,23.6,17.271772,8469434
01/12/2015,23.73,23.795,23.434999,23.530001,17.220541,6428769
02/12/2015,23.495001,24.004999,23.424999,23.620001,17.286409,8395340
03/12/2015,23.6,23.885,22.68,22.684999,16.602125,16835395
04/12/2015,22.715,23.190001,21.969999,22.209999,16.254492,14927329
07/12/2015,22.23,22.23,21.215,21.305,15.592164,13646742
08/12/2015,21.215,21.375,20.625,21.145,15.475066,12925319
09/12/2015,21.120001,21.83,20.635,21.434999,15.68731,13674673
10/12/2015,21.434999,21.594999,21.129999,21.290001,15.581185,8237658
11/12/2015,21.120001,21.200001,20.275,20.355,14.896899,15151781
14/12/2015,20.475,20.530001,19.575001,19.635,14.369968,15433317
15/12/2015,19.915001,20.545,19.889999,20.370001,14.907882,12795351
16/12/2015,20.5,20.610001,20.184999,20.264999,14.831037,10717272
17/12/2015,20.66,20.68,20.059999,20.205,14.787126,11613163
18/12/2015,20.02,20.52,20.004999,20.299999,14.856649,14613276
21/12/2015,20.27,20.375,19.860001,19.860001,14.534636,7597083
22/12/2015,20,20.355,19.959999,20.280001,14.842012,8812096
23/12/2015,20.48,21.459999,20.459999,21.389999,15.654373,10315588
24/12/2015,21.5,21.559999,21.334999,21.475,15.716578,1891550
28/12/2015,21.440001,21.450001,20.705,20.879999,15.281123,5168471
29/12/2015,21,21.41,20.995001,21.325001,15.606801,6261605
30/12/2015,21.33,21.375,21.110001,21.184999,15.504342,5476870
04/01/2016,21.105,21.195,20.385,20.825001,15.240874,11163755
05/01/2016,21.360001,21.389999,20.805,21.040001,15.398221,10091558
06/01/2016,21.049999,21.059999,20.32,20.549999,15.039613,8784187
07/01/2016,19.9,19.940001,19.115,19.780001,14.476088,18202157
08/01/2016,19.75,19.77,18.514999,18.514999,13.550288,19597367
11/01/2016,18.51,18.860001,18.24,18.315001,13.403917,14012731
12/01/2016,18.235001,18.775,18.07,18.174999,13.30146,12829500
13/01/2016,18.5,18.885,18.014999,18.18,13.30512,13531273
14/01/2016,18.02,18.895,17.715,18.68,13.671045,15984145
15/01/2016,18.620001,18.68,17.75,17.870001,13.078246,16962866
18/01/2016,17.799999,18.24,17.709999,17.745001,12.986763,9688573
19/01/2016,18.16,18.385,17.805,17.93,13.122155,9583639
20/01/2016,17.485001,17.485001,16.615,16.67,12.20002,21997139
21/01/2016,16.709999,17.469999,16.525,17.43,12.756227,18742030
22/01/2016,18.299999,18.764999,18.004999,18.549999,13.575904,20026470
25/01/2016,18.790001,18.790001,18.145,18.51,13.54663,13358461
26/01/2016,18.084999,19.040001,17.785,18.965,13.879627,15252646
27/01/2016,18.885,19.344999,18.389999,19.344999,14.157731,14800370
28/01/2016,19.43,20.440001,19.344999,19.764999,14.465106,22676912
29/01/2016,20.184999,20.24,19.375,19.995001,14.633435,14272655
01/02/2016,20.145,20.219999,19.475,19.875,14.545613,13209549
02/02/2016,19.655001,19.67,18.780001,19.08,13.963789,15717733
03/02/2016,19.040001,19.43,18.66,19.115,13.989402,11464328
04/02/2016,19.715,20.295,19.535,20.02,14.651731,19942974
05/02/2016,19.940001,20.445,19.85,20.120001,14.724917,14946373
08/02/2016,20.264999,20.365,19.465,19.790001,14.483407,14666525
09/02/2016,19.924999,20.125,18.879999,18.92,13.846689,18761262
10/02/2016,18.9,19.344999,18.695,18.9,13.832052,14714216
11/02/2016,18.695,18.780001,18.040001,18.514999,13.550288,17224188
12/02/2016,18.940001,19.76,18.875,19.76,14.461451,18840312
15/02/2016,20.09,20.280001,19.75,20.1,14.710279,12168211
16/02/2016,20.5,20.985001,19.959999,20.209999,14.790782,17406767
17/02/2016,20.254999,21.16,20,21.16,15.486049,15937245
18/02/2016,20.995001,21.084999,20.559999,20.615,15.394268,17887474
19/02/2016,20.5,20.754999,20.014999,20.215,15.095569,13057418
22/02/2016,20.42,21.045,20.344999,20.83,15.554819,14428965
23/02/2016,20.655001,20.780001,20.205,20.205,15.0881,14414629
24/02/2016,19.99,19.99,19.445,19.635,14.662453,13325531
25/02/2016,19.93,20.575001,19.860001,20.125,15.028359,10838050
26/02/2016,20.445,21,20.370001,20.889999,15.599627,12948765
29/02/2016,20.700001,21.209999,20.58,21.145,15.790049,8637338
01/03/2016,21.1,21.35,21.004999,21.209999,15.838588,11193025
02/03/2016,21.355,21.565001,20.85,21.52,16.070082,11264005
03/03/2016,21.6,21.665001,21.280001,21.58,16.11488,10487036
04/03/2016,21.690001,21.795,21.42,21.735001,16.230631,8140108
07/03/2016,21.754999,21.93,21.184999,21.735001,16.230631,8575230
08/03/2016,21.76,21.825001,21.145,21.43,16.002871,10351608
09/03/2016,21.42,21.975,21.34,21.889999,16.346378,10463956
10/03/2016,21.959999,22.15,21.040001,21.055,15.722841,15981302
11/03/2016,21.575001,21.695,21.379999,21.549999,16.09248,10306121
14/03/2016,21.684999,21.865,21.315001,21.540001,16.085014,8127762
15/03/2016,21.385,21.405001,20.985001,21.215,15.842318,9918715
16/03/2016,21.325001,21.860001,21.325001,21.745001,16.238102,9209512
17/03/2016,21.965,22.245001,21.690001,22.18,16.562931,12697888
18/03/2016,22.225,22.290001,21.834999,21.834999,16.305305,14626603
