Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,1811,1827.5,1795.5,1803.5,1298.590698,6931953
02/07/2015,1805,1828.5,1800,1816.5,1307.950928,6044942
03/07/2015,1821.5,1823.900024,1796.5,1812,1304.71106,2655414
06/07/2015,1799.5,1804,1783.5,1788,1287.430054,4227532
07/07/2015,1789,1789,1753,1753,1262.228516,5469358
08/07/2015,1765.5,1815.5,1763,1801.5,1297.150391,7567102
09/07/2015,1801.5,1816.5,1764.069946,1804.5,1299.310669,8199132
10/07/2015,1833.5,1842,1810.5,1822,1311.911377,4644474
13/07/2015,1844,1845.5,1809,1818,1309.03125,3832645
14/07/2015,1807.5,1839,1803.5,1838,1323.431885,4742627
15/07/2015,1830.5,1841.5,1821,1824.5,1313.71167,4256262
16/07/2015,1828.5,1840,1814,1835.5,1321.631958,4745669
17/07/2015,1832,1832.5,1808,1814,1306.151245,4067372
20/07/2015,1818.5,1835,1808,1819,1309.751465,3547528
21/07/2015,1817,1838.5,1807.300049,1836,1321.991943,3466286
22/07/2015,1817,1820.5,1784,1787,1286.710083,5115287
23/07/2015,1799,1803.5,1775,1784,1284.549927,4547057
24/07/2015,1783.5,1791.5,1752.5,1755.5,1264.028687,4346231
27/07/2015,1753,1768.560059,1728.5,1735.5,1249.62793,6021888
28/07/2015,1737.5,1751,1725.5,1740,1252.868408,4860727
29/07/2015,1751.5,1764.5,1730,1764.5,1270.509033,7342292
30/07/2015,1807,1851.5,1797.5,1839,1324.152222,9144289
31/07/2015,1846,1864,1827,1840,1324.871948,6190919
03/08/2015,1837,1848.5,1822,1832,1319.112061,4644031
04/08/2015,1821,1840,1811.5,1830.5,1318.03186,14175574
05/08/2015,1828.5,1863.5,1824,1861,1339.993164,5637429
06/08/2015,1854,1875.5,1843,1873.5,1348.99353,8256605
07/08/2015,1875,1902.5,1870,1885.5,1357.633911,5601592
10/08/2015,1888.5,1893,1849,1879.5,1353.313599,5342991
11/08/2015,1871,1893.119995,1864.5,1867,1344.313354,8934581
12/08/2015,1870,1879,1845.5,1877.5,1351.873535,8641627
13/08/2015,1872,1887.430054,1821,1821.5,1333.512573,6766089
14/08/2015,1816,1843.099976,1794.5,1797,1315.576416,4443885
17/08/2015,1805,1805.5,1781,1793,1312.647827,3993157
18/08/2015,1800,1800,1759.5,1764,1291.417236,5021995
19/08/2015,1765,1765,1726,1729,1265.793579,4976457
20/08/2015,1728,1753.5,1713.5,1738.5,1272.748535,7775509
21/08/2015,1720,1735,1684.839966,1686,1234.313843,8179356
24/08/2015,1638,1657.98999,1542.5,1579,1155.97937,17101627
25/08/2015,1611.5,1646.640015,1593,1619,1185.263306,10135451
26/08/2015,1600.5,1633.5,1573,1575,1153.051025,8570852
27/08/2015,1612,1665.5,1593.5,1653.5,1210.520508,10750594
