Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,2635,2658,2608.5,2621,1958.558716,4348968
02/07/2015,2600.5,2667.5,2590,2633,1967.525635,4245778
03/07/2015,2612.5,2626,2576,2606,1947.349854,3014515
06/07/2015,2560,2591,2545,2578,1926.426636,3354723
07/07/2015,2577,2578.5,2481,2492.5,1862.536621,5644563
08/07/2015,2458,2513.5,2438,2484.5,1856.558105,7505532
09/07/2015,2520.5,2560,2501,2528.5,1889.437378,5097297
10/07/2015,2600,2610,2501.550049,2539.5,1897.657227,5174398
13/07/2015,2555,2600.5,2504,2600.5,1943.239624,5867715
14/07/2015,2609,2617,2575,2580.5,1928.294556,4032514
15/07/2015,2590,2642.179932,2571.5,2597,1940.624268,4925083
16/07/2015,2606.5,2646,2568.5,2622.5,1959.679688,3870964
17/07/2015,2616.5,2626,2580.5,2593,1937.635376,3558487
20/07/2015,2597.5,2609,2577,2591,1936.140869,2558059
21/07/2015,2585,2610,2562,2597,1940.624268,2987419
22/07/2015,2540,2550.5,2489.679932,2502.5,1870.008667,5676288
23/07/2015,2499.5,2528.5,2473.5,2488,1859.173462,3827181
24/07/2015,2495,2513.5,2377,2400.5,1793.788696,6568553
27/07/2015,2414,2440,2373,2394,1788.931396,5963309
28/07/2015,2400,2433.159912,2383.5,2406,1797.898438,6744345
29/07/2015,2435,2463,2407.5,2454,1833.766968,4684602
30/07/2015,2463,2478,2433,2456.5,1835.635376,4402093
31/07/2015,2469,2492,2425.5,2486.5,1858.05249,5604908
03/08/2015,2476,2480,2402.5,2432.5,1817.700806,4929196
04/08/2015,2432.5,2498,2416,2470.5,1846.096436,4704410
05/08/2015,2500,2594,2491.5,2567.5,1918.580811,6976350
06/08/2015,2616,2623,2541,2575.5,1924.558472,6018797
07/08/2015,2574,2629.5,2562,2587.5,1933.525513,6824812
10/08/2015,2581,2635,2545.5,2635,1969.020142,5430274
11/08/2015,2588,2640.5,2548.5,2553.5,1908.118896,8311209
12/08/2015,2495.5,2585,2467,2554.5,1908.866333,10021746
13/08/2015,2509.5,2543.5,2447.5,2459,1888.453247,5710244
14/08/2015,2463.5,2499,2434.5,2462.5,1891.141479,3553688
17/08/2015,2459,2474.5,2425.5,2445,1877.70166,4184172
18/08/2015,2420,2445.5,2387.5,2412,1852.358521,3746742
19/08/2015,2414.5,2425.5,2311.5,2323,1784.008545,6547119
20/08/2015,2310.5,2386,2310,2361,1813.191895,5609549
21/08/2015,2331,2378,2312,2315,1777.864868,4171954
24/08/2015,2209,2240.5,2107.780029,2154.5,1654.604614,9856403
25/08/2015,2210,2300,2188.5,2244.5,1723.722412,10234660
26/08/2015,2230,2270,2183.790039,2200,1689.547485,6318048
27/08/2015,2255.5,2366,2234.5,2349,1803.97583,6736767
28/08/2015,2384,2403.5,2323.5,2388,1833.927246,6266439
01/09/2015,2351,2375,2246,2271,1744.073853,6702507
02/09/2015,2288.5,2330,2257,2266.5,1740.617676,4804701
03/09/2015,2284,2376.5,2284,2341,1797.831909,6305288
04/09/2015,2321,2352,2227.5,2235,1716.426636,5032402
07/09/2015,2285.5,2294,2241.5,2251,1728.714478,3949475
08/09/2015,2270.5,2316.5,2270,2309.5,1773.641113,4037039
09/09/2015,2380.5,2420,2358.5,2377.5,1825.863037,5591736
10/09/2015,2360,2401.5,2316,2365,1816.263672,6042651
11/09/2015,2386.5,2446.5,2376.5,2383,1830.087036,5931892
14/09/2015,2394.5,2450,2359,2397.5,1841.222656,6939486
