Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,19.450001,19.665001,19.195,19.334999,16.270714,5194536
02/07/2015,20,20.58,19.855,20.295,17.078571,7207295
03/07/2015,20.41,20.41,19.58,19.705,16.582075,4441908
06/07/2015,19.370001,19.66,19.195,19.24,16.190771,4129993
07/07/2015,19.254999,19.360001,18.924999,19.004999,15.993014,4252261
08/07/2015,19,19.35,18.940001,19.16,16.123453,3454688
09/07/2015,19.219999,19.5,19.075001,19.4,16.325413,3563420
10/07/2015,19.725,19.985001,19.559999,19.91,16.754585,3632434
13/07/2015,20.17,20.26,19.98,20.205,17.002836,3457195
14/07/2015,19.75,19.915001,19.514999,19.844999,16.699886,4663604
15/07/2015,19.85,19.99,19.805,19.83,16.687265,2544291
16/07/2015,19.915001,20.25,19.82,20.139999,16.948137,2729524
17/07/2015,20.15,20.23,19.77,19.775,16.640985,3004225
20/07/2015,19.825001,20.065001,19.73,19.870001,16.720928,2214308
21/07/2015,19.93,19.965,19.344999,19.385,16.312794,3468400
22/07/2015,19.32,19.370001,19.155001,19.205,16.161318,2168304
23/07/2015,19.315001,19.315001,19.08,19.165001,16.127659,1791034
24/07/2015,19.105,19.219999,18.905001,18.93,15.9299,2412848
27/07/2015,18.889999,18.940001,18.549999,18.549999,15.610124,3366812
28/07/2015,18.645,18.745001,18.514999,18.605,15.656408,2787778
29/07/2015,18.645,18.695,18.445,18.57,15.626954,2557327
30/07/2015,18.74,18.99,18.700001,18.84,15.854163,2592885
31/07/2015,18.825001,18.965,18.59,18.950001,15.946732,2702112
03/08/2015,18.934999,19.18,18.82,19.094999,16.06875,2072461
04/08/2015,19.094999,19.200001,18.945,18.995001,15.984601,1627578
05/08/2015,19.02,19.385,18.940001,19.325001,16.2623,2769360
06/08/2015,19.334999,19.559999,19.23,19.264999,16.211809,2292090
07/08/2015,19.264999,19.360001,19.105,19.215,16.169735,2033102
10/08/2015,19.290001,19.370001,18.98,19.27,16.216017,2471956
11/08/2015,19.26,19.280001,18.535,18.629999,15.677446,4057052
12/08/2015,18.51,18.655001,18.209999,18.27,15.374501,3792015
13/08/2015,18.395,18.5,16.795,16.825001,14.158511,11122380
14/08/2015,16.85,16.865,16.360001,16.424999,13.821902,5501213
17/08/2015,16.51,16.67,16.200001,16.295,13.712506,4046444
18/08/2015,16.200001,16.205,15.76,15.76,13.262295,5591758
19/08/2015,15.63,15.75,15.28,15.295,12.87099,5366363
20/08/2015,15.21,15.595,15.15,15.265,12.845745,5398603
21/08/2015,15.01,15.235,14.545,14.545,12.239853,6574824
24/08/2015,14.105,14.235,13.1,13.22,11.124845,11575730
25/08/2015,13.49,13.93,13.355,13.86,11.663414,9033753
26/08/2015,13.65,13.76,13.425,13.53,11.385714,5005880
27/08/2015,13.82,14.135,13.765,14.035,11.810679,4257339
28/08/2015,14,14.06,13.835,14.015,11.793851,4243648
31/08/2015,13.87,13.87,13.225,13.395,11.27211,5386743
01/09/2015,13.285,13.345,13.02,13.105,11.02807,6060306
02/09/2015,13.15,13.22,12.885,12.895,10.851353,5687895
03/09/2015,13.04,13.365,12.97,13.295,11.187959,5811599
04/09/2015,13.12,13.175,12.575,12.595,10.598896,6501908
07/09/2015,12.615,12.885,12.55,12.57,10.577858,3544098
08/09/2015,12.88,13.54,12.88,13.285,11.179543,7173385
09/09/2015,13.485,13.53,13.025,13.035,10.969164,5094416
10/09/2015,12.845,12.845,12.43,12.48,10.502122,5734876
11/09/2015,12.48,12.51,12.06,12.06,10.148685,5191108
14/09/2015,12.1,12.15,11.78,11.8,9.929892,5339618
15/09/2015,11.72,11.73,10.18,11.41,9.6017,17864654
16/09/2015,11.51,11.66,10.55,10.865,9.143073,10979987
17/09/2015,10.92,12.13,10.6,11.845,9.96776,18688521
18/09/2015,11.955,12.245,10.89,10.89,9.164111,41881146
21/09/2015,10.86,11.3,10.305,10.355,8.7139,11027619
22/09/2015,10.425,10.425,9.873,9.873,8.30829,8520841
23/09/2015,9.886,10.445,9.885,10.03,8.440407,6056471
24/09/2015,10.05,10.135,9.65,9.704,8.166073,7869868
25/09/2015,9.922,9.998,9.5,9.602,8.080237,9673094
28/09/2015,9.568,9.85,9.148,9.204,7.745316,8715708
29/09/2015,9.135,9.92,9.126,9.74,8.196367,10659624
30/09/2015,10,10.265,9.85,10.15,8.541389,7590361
01/10/2015,10.295,10.34,9.701,9.763,8.215722,6495131
02/10/2015,10.05,10.59,9.999,10.43,8.777014,7926021
05/10/2015,10.75,11.255,10.67,11.235,9.454434,6196232
06/10/2015,11.29,11.295,10.42,11.025,9.277716,10030552
07/10/2015,11.28,11.905,11.13,11.565,9.732135,8135655
08/10/2015,11.545,11.65,11.2,11.53,9.702682,5219655
09/10/2015,11.66,12.48,11.63,12.25,10.308574,8027689
12/10/2015,13.6,14.085,13.12,13.395,11.27211,16661009
13/10/2015,13.38,13.405,12.315,12.625,10.624142,9024494
14/10/2015,12.53,13.055,12.025,12.635,10.632557,7248216
15/10/2015,12.795,12.975,12.055,12.195,10.262289,6014819
16/10/2015,12.3,12.64,12.16,12.56,10.569444,5750457
19/10/2015,12.535,12.63,12.13,12.23,10.291742,3365394
20/10/2015,12.29,12.61,12.175,12.48,10.502122,2868784
21/10/2015,12.51,12.56,12.125,12.25,10.308574,3923416
22/10/2015,12.23,12.93,12.08,12.78,10.754578,5404149
23/10/2015,12.885,13.12,12.7,12.925,10.876597,4950937
26/10/2015,13,13.285,12.885,13.12,11.040692,3692573
27/10/2015,13.13,13.145,12.465,12.485,10.506329,4707495
28/10/2015,12.49,12.685,12.06,12.62,10.619934,5758379
29/10/2015,12.635,12.635,11.97,12.045,10.136063,5212629
30/10/2015,12.125,12.665,12.045,12.655,10.649388,4855347
02/11/2015,12.57,13.315,12.445,13.155,11.070146,5334225
03/11/2015,13.15,13.395,12.91,13.35,11.234241,5951593
04/11/2015,13.4,14.06,13.36,13.58,11.427791,6079299
05/11/2015,13.69,13.735,13.115,13.25,11.15009,4488659
06/11/2015,13.24,13.54,13.185,13.395,11.27211,3580112
09/11/2015,13.365,13.635,12.85,12.865,10.826106,4396911
10/11/2015,12.865,12.945,12.21,12.375,10.413763,5947212
11/11/2015,12.335,13.13,12.335,12.46,10.485293,5355466
12/11/2015,12.525,12.59,10.965,11.265,9.47968,15222748
13/11/2015,11.165,11.525,11.04,11.235,9.454434,7765104
16/11/2015,11.105,11.53,11.07,11.22,9.441813,4033146
17/11/2015,11.245,11.455,11.05,11.4,9.593285,4450521
18/11/2015,11.32,11.53,11.25,11.38,9.576453,3255872
19/11/2015,11.49,11.665,11.46,11.61,9.770003,3961097
20/11/2015,11.585,11.7,11.405,11.465,9.647983,3282652
23/11/2015,11.25,11.25,10.685,10.895,9.16832,5899159
24/11/2015,10.83,11.015,10.59,10.665,8.974771,4622099
25/11/2015,10.705,10.935,10.57,10.905,9.176734,3419163
26/11/2015,10.84,11.305,10.805,11.255,9.471264,3688110
