Date,Open,High,Low,Close,Adj Close,Volume
01/07/2015,6.22001,6.37738,6.18558,6.30066,4.899999,72574805
02/07/2015,6.31738,6.3282,6.21902,6.25935,4.867872,46359068
03/07/2015,6.24558,6.27902,6.19148,6.21115,4.830386,55275703
06/07/2015,6.09805,6.11182,5.97707,6.03608,4.694236,132442030
07/07/2015,6.06166,6.09411,5.88166,5.89937,4.587917,112545102
08/07/2015,5.92592,6.01936,5.87478,5.93183,4.613161,96277763
09/07/2015,5.98002,6.1905,5.96232,6.14132,4.776081,76211825
10/07/2015,6.30459,6.43049,6.28886,6.37148,4.955075,114011479
13/07/2015,6.47672,6.54065,6.42459,6.50721,5.060632,76669870
14/07/2015,6.50721,6.52098,6.35771,6.46983,5.031562,107065474
15/07/2015,6.46885,6.52884,6.43344,6.52098,5.071341,56328317
16/07/2015,6.56032,6.66359,6.55343,6.65277,5.173832,138613076
17/07/2015,6.67048,6.67343,6.60261,6.60261,5.134824,117906134
20/07/2015,6.59966,6.68228,6.58884,6.64884,5.170777,80106083
21/07/2015,6.66851,6.66949,6.5613,6.57507,5.113406,256109771
22/07/2015,6.52589,6.64687,6.51901,6.60556,5.137118,244728313
23/07/2015,6.639,6.65376,6.56228,6.56228,5.103459,320136598
24/07/2015,6.53573,6.579,6.44327,6.44327,5.010906,194061642
27/07/2015,6.39311,6.41672,6.30066,6.30066,4.899999,156037185
28/07/2015,6.32426,6.40098,6.30558,6.36262,4.948185,65212479
29/07/2015,6.37738,6.3941,6.30558,6.39115,4.970373,99194325
30/07/2015,6.48163,6.48655,6.12755,6.17378,4.801324,91365920
31/07/2015,6.18558,6.19148,6.06362,6.18067,4.806683,103152556
03/08/2015,6.16001,6.2023,6.07444,6.16985,4.837401,186308993
04/08/2015,6.15312,6.16689,6.04002,6.08624,4.771847,241304048
05/08/2015,6.1187,6.2023,6.10395,6.17181,4.838938,184446968
06/08/2015,6.16886,6.2023,6.13345,6.15312,4.824284,250779496
07/08/2015,6.16591,6.18165,6.10198,6.10198,4.784188,190220644
10/08/2015,6.13149,6.22099,6.06952,6.2023,4.862844,96401054
11/08/2015,6.17673,6.22296,6.08034,6.09018,4.774937,65317965
12/08/2015,6.0233,6.02526,5.90133,5.91904,4.640758,86901675
13/08/2015,6.00067,6.00953,5.90133,5.90133,4.626872,110991367
14/08/2015,5.91215,5.96232,5.82462,5.83839,4.577524,143774467
17/08/2015,5.90724,5.94068,5.76364,5.84724,4.584463,84984028
18/08/2015,5.83052,5.87084,5.80298,5.82757,4.56904,65805492
19/08/2015,5.80298,5.89838,5.76265,5.77052,4.524312,68536580
20/08/2015,5.7597,5.81872,5.6702,5.68495,4.45722,84426671
21/08/2015,5.59053,5.70167,5.50496,5.50496,4.316103,74536584
24/08/2015,5.32399,5.40759,5.0063,5.12138,4.01536,177213932
25/08/2015,5.22071,5.38595,5.17645,5.34169,4.188092,140051555
26/08/2015,5.29153,5.33284,5.20596,5.2217,4.094016,116268046
